Wilayah,long,lat,warna
Ibu Kota Sigi (Bora),-1.0577615,119.9123939,ik
Kota Pulu (Dolo),-0.9987215,119.8654977,sk
Kaleke (Dolo Barat),-1.0392705,119.8664043,sk
Baluase (Dolo Selatan),-1.2364645,119.7618618,ss
Pakuli (Gumbasa),-1.2145895,119.9439959,ss
Porame (Kinovaro),-0.9543856,119.8299103,sd
Bolapapu (Kulawi),-1.4903923,119.9427618,sk
Watukilo (Kulawi Selatan),-1.5811749,120.0518738,sk
Tomado (Lindu),-1.3649362,120.0107741,ss
Binangga (Marawola),-0.9515998,119.8546814,sk
Dombu (Marawola Barat),-0.9567875,119.7625425,sd
Kamarora A (Nokilalaki),-1.2128355,120.1221024,sk
Makmur (Palolo),-1.1444855,120.0392034,sd
Peana (Pipikoro),-1.7863254,119.8904909,sk
Mpanau (Sigi Biromaru),-0.9509745,119.8989024,ss
Sibalaya Utara (Tanambulava),-1.138607,119.9039134,ss
